Account,Amount,Destination,delivered_amount,date,Memos
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rMQSnyXsWEppczLT39p8TomkoSbAWKAi6p","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rQwtCWpZ44VzTiVHcDcag14jpJF7kxHqD8","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rnWuqxmQrUTaD18YyPiLwxaRqHkQJ5ABwr","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rwdF4hWVTeLJocb9B5YdHG585dGWmugyKm","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rBNVpTXJJ26PTd6xxNakPMbLmMi7FyhYqx","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rBNHdyd2d2Rb1ncNrUjAwb1LTQsJn4EbJj","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r3AfupVYBrCnSFkuGPphB5dAWeEYrgfT1E","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rwFWoGny9P5nxf9P9XHC8wHytq8x1YqY5v","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rN7aCkYPgCWug1jCb3gV58A7s8fN7N124a","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rN7aCkYPgCWug1jCb3gV58A7s8fN7N124a","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r3hFpv7dvPP8PWTWEfwh8NxDRiEf4QArND","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJs4LueTj37igqHPvzFrvVEHCDEBp2RgBR","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r3hFpv7dvPP8PWTWEfwh8NxDRiEf4QArND","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJs4LueTj37igqHPvzFrvVEHCDEBp2RgBR","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rnnebSkf91i4GDTh1wvezRUEW7NA6GFXcD","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rnnebSkf91i4GDTh1wvezRUEW7NA6GFXcD","1000000000","2021-10-28",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rfMb8f8MUd2ZJFiGRBptCbWa93zsR9pa8P","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rUzKgRmraqpFsCMZRJh35xrRWVLJg1BTc5","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rvVZ47TXZ7uBeXbL6qadtNoxuV6GRvBjF","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rHYgg5ZPSqZMTBzGpkegw5GbJ9SDET7yxo","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rK7psgKo4tSaD5NWEhHxMipag2ntKrHRYk","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r44JyJgVbcUgtDp5aBkgopaPZdknnYYp63","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rBf6BfSNEf3jbpRmyUphdmVWHs686sdi11","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rMYAhzb2UFxWFFPS79wYe7h1D7j3cNB6zT","1000000000","2021-10-27",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r9dEeyocvsndCw1DnD9YaU7FNeFyafcJaR","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJBRQm3sU6Aoxw441gbWR4votwPAJui7yM","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r9dEeyocvsndCw1DnD9YaU7FNeFyafcJaR","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJBRQm3sU6Aoxw441gbWR4votwPAJui7yM","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rncdNM8LWggZ4GTPkxPCYrGz8kTVscrDLr","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rhVRrQsX6PTresifbqqPywMZJSz9obG8QL","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rncdNM8LWggZ4GTPkxPCYrGz8kTVscrDLr","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rhVRrQsX6PTresifbqqPywMZJSz9obG8QL","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rhKh26XrZd1Hnqybieu5bMEhDYiH2qMab8","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rhKh26XrZd1Hnqybieu5bMEhDYiH2qMab8","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJ3BSCXR1WW37xvZ8422H98sXEDGJ9Lg8A","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rJ3BSCXR1WW37xvZ8422H98sXEDGJ9Lg8A","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rHn3aGvY3Pzrn1yak1WMnT5RzKnSSNR7t4","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rHn3aGvY3Pzrn1yak1WMnT5RzKnSSNR7t4","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rsGNPh7zGszLPv3d9wYbfDZbDHCtnSvAZt","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rsGNPh7zGszLPv3d9wYbfDZbDHCtnSvAZt","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rKB2gGn6biWMbyXLPsEwoXagJmvf8RLtWS","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","rKB2gGn6biWMbyXLPsEwoXagJmvf8RLtWS","1000000000","2021-10-26",null
"rPT1Sjq2YGrBMTttX4GZHjKu9dyfzbpAYe","1000000000","r4achYZ9SjbKHUu1HUugEK36TMGENLYPBs","1000000000","2021-10-26",null
